q_id,q_status,q_date,q_year,ia_date,wd_date,on_date,entity,project_name,developer,utility,county_1,county_2,county_3,state,region,service,poi_name,prop_date,prop_year,IA_status_raw,IA_status_clean,type_clean,type1,type2,type3,mw1,mw2,mw3
W2-023,withdrawn,5/28/2010,2010,,2/24/2015,,PJM,,,PSEG,middlesex,,,NJ,PJM,Capacity,Sewaren 230kV,5/31/2017,2017,Facility Study,Facility Study,Gas,Gas,,,625,,
AH2-293,withdrawn,3/10/2022,2022,,4/12/2023,,PJM,,,JCPL,warren,,,NJ,PJM,Capacity,Gilbert - Morris Park 115 kV,6/30/2025,2025,Withdrawn,Feasibility Study,Solar+Battery,Solar,Battery,,50,,
AH2-287,withdrawn,3/10/2022,2022,,4/8/2022,,PJM,,,JCPL,monmouth,,,NJ,PJM,Capacity,,12/31/2029,2029,Withdrawn,Withdrawn,Wind,Wind,,,600,,
X2-047,withdrawn,6/28/2011,2011,,5/10/2012,,PJM,,,AEC,salem,,,NJ,PJM,Capacity,Oldmans Township 12kV,11/30/2011,2011,System Impact Study,System Impact Study,Solar,Solar,,,10,,
W4-083,withdrawn,1/31/2011,2011,,11/29/2011,,PJM,,,AEC,salem,,,NJ,PJM,Capacity,Quinton 69kV,5/1/2012,2012,System Impact Study,System Impact Study,Solar,Solar,,,10,,
AE2-101,withdrawn,2/28/2019,2019,,8/21/2019,,PJM,,,AEC,gloucester,,,NJ,PJM,Capacity,Nortonville 12 kV,3/2/2020,2020,Feasibility Study,Feasibility Study,Solar,Solar,,,4,,
T83,withdrawn,10/15/2007,2007,,7/9/2008,,PJM,,,AEC,atlantic,,,NJ,PJM,Capacity,Merion 138kV,12/31/2012,2012,Feasibility Study,Feasibility Study,Offshore Wind,Offshore Wind,,,350,,
T135,withdrawn,1/10/2008,2008,,4/28/2009,,PJM,,,AEC,salem,,,NJ,PJM,Capacity,Chambers 230kV,1/7/2008,2008,System Impact Study,System Impact Study,Coal,Coal,,,15,,
AI2-431,active,3/10/2023,2023,,,,PJM,,,JCPL,atlantic,,,NJ,PJM,Capacity,Larrabee Collector Station 230 kV,2/28/2030,2030,In Progress,Feasibility Study,Offshore Wind,Offshore Wind,,,2139,,
X3-027,withdrawn,8/29/2011,2011,,5/2/2012,,PJM,,,AEC,ocean,,,NJ,PJM,Energy,Ocean,12/31/2012,2012,Feasibility Study,Feasibility Study,Solar,Solar,,,10,,
W1-065,withdrawn,3/31/2010,2010,,11/17/2011,,PJM,,,JCPL,monmouth,,,NJ,PJM,Capacity,Millstone,3/31/2011,2011,System Impact Study,System Impact Study,Solar,Solar,,,2,,
X2-096,withdrawn,7/29/2011,2011,,8/23/2011,,PJM,,,JCPL,sussex,,,NJ,PJM,Capacity,Wantage,7/31/2013,2013,Withdrawn,Withdrawn,Solar,Solar,,,4,,
X1-092,withdrawn,4/29/2011,2011,,10/6/2011,,PJM,,,AEC,cumberland,,,NJ,PJM,Energy,Newport 12kV,8/31/2012,2012,Feasibility Study,Feasibility Study,Solar,Solar,,,2,,
AH2-132,active,3/1/2022,2022,,,,PJM,,,AEC,salem,,,NJ,PJM,Capacity,Chambers 230kV,6/1/2024,2024,In Progress,Feasibility Study,Battery,Battery,,,0,,
Z2-094,withdrawn,4/30/2014,2014,,7/15/2014,,PJM,,,JCPL,warren,,,NJ,PJM,Energy,Washington-Mobile Chemical 34kV,12/31/2014,2014,Withdrawn,Withdrawn,Battery,Battery,,,10,,
U2-064,withdrawn,7/10/2008,2008,,8/17/2009,,PJM,,,PSEG,sussex,,,NJ,PJM,Capacity,Branchburg-Ramapo 500kV,6/1/2014,2014,Feasibility Study,Feasibility Study,Hydro,Hydro,,,1000,,
W2-060,withdrawn,7/29/2010,2010,,5/30/2013,,PJM,Florence solar,,PSEG,burlington,,,NJ,PJM,Capacity,Burlington 26kV,2/28/2014,2014,System Impact Study,System Impact Study,Solar,Solar,,,20,,
AD1-006,withdrawn,4/3/2017,2017,,10/26/2017,,PJM,,,PSEG,hudson,,,NJ,PJM,Energy,Secaucus 480 v,12/31/2017,2017,Withdrawn,Withdrawn,Gas,Gas,,,0,,
X1-034,withdrawn,3/22/2011,2011,,4/9/2013,,PJM,Renaissance at Hanover Solar Farm,,JCPL,morris,,,NJ,PJM,Capacity,Stoney Brook 12kV,12/21/2014,2014,System Impact Study,System Impact Study,Solar,Solar,,,1,,
U2-049,withdrawn,6/24/2008,2008,,2/9/2011,,PJM,,,JCPL,monmouth,,,NJ,PJM,Capacity,Monmouth,5/15/2012,2012,Feasibility Study,Feasibility Study,Gas,Gas,,,640,,
AG2-180,active,2/26/2021,2021,,,,PJM,,,AEC,gloucester,,,NJ,PJM,Capacity,Paulsboro 69 kV,2/25/2021,2021,In Progress,Feasibility Study,Gas,Gas,,,0,,
AH1-638,withdrawn,9/13/2021,2021,,8/15/2022,,PJM,,,AEC,atlantic,,,NJ,PJM,Capacity,Pleasantville 12.47kV,11/1/2022,2022,Withdrawn,Withdrawn,Solar,Solar,,,2,,
T43,withdrawn,9/19/2007,2007,,5/30/2012,,PJM,,,PSEG,essex,,,NJ,PJM,Capacity,Essex 230kV,6/1/2012,2012,Facility Study,Facility Study,Gas,Gas,,,178,,
W1-118,withdrawn,4/30/2010,2010,,1/29/2014,,PJM,,,AEC,cumberland,,,NJ,PJM,Capacity,Silica Spur 2,12/31/2011,2011,System Impact Study,System Impact Study,Solar,Solar,,,20,,
AA2-065,withdrawn,2/27/2015,2015,,9/2/2016,,PJM,,,JCPL,warren,,,NJ,PJM,Energy,Hazen Switch Point-Washington 34.5kV,12/1/2015,2015,System Impact Study,System Impact Study,Battery,Battery,,,8,,
W3-120,withdrawn,10/29/2010,2010,,5/16/2014,,PJM,Polizzi Solar Farm,,JCPL,ocean,,,NJ,PJM,Capacity,Cookstown-Great Adventure 34.5kV,12/31/2014,2014,System Impact Study,System Impact Study,Solar,Solar,,,17,,
AF1-325,active,9/30/2019,2019,,,,PJM,Houses Corner Storage,,JCPL,sussex,,,NJ,PJM,Energy,Sparta-Woodruff's Gap 34.5 kV,1/1/2026,2026,IA Executed,IA Executed,Battery,Battery,,,20,,
Y3-101,withdrawn,4/29/2013,2013,,9/30/2013,,PJM,,,AEC,ocean,,,NJ,PJM,Capacity,Cedar 12kV,12/31/2014,2014,System Impact Study,System Impact Study,Solar,Solar,,,6,,
AH1-507,active,9/10/2021,2021,,,,PJM,,,JCPL,monmouth,,,NJ,PJM,Capacity,Oceanview Wind 4 230 kV,12/30/2028,2028,In Progress,Feasibility Study,Offshore Wind,Offshore Wind,,,730,,
W4-038,withdrawn,12/30/2010,2010,,,11/1/2012,PJM,Hudson Generating Station,,PSEG,hudson,,,NJ,PJM,Capacity,Hudson 230kV,8/31/2018,2018,IA Executed,IA Executed,Coal,Coal,,,24,,
O04,withdrawn,2/11/2005,2005,,2/1/2006,,PJM,,,PSEG,camden,,,NJ,PJM,Capacity,Camden-Richmond,6/1/2008,2008,Feasibility Study,Feasibility Study,Gas,Gas,,,640,,
V2-009,active,5/29/2009,2009,,,,PJM,Cranbury SP,,PSEG,middlesex,,,NJ,PJM,Capacity,Plainsboro & Devils Brook 13kV,6/1/2024,2024,System Impact Study,System Impact Study,Solar,Solar,,,16,,
T123,withdrawn,1/2/2008,2008,,5/29/2009,,PJM,,,AEC,gloucester,,,NJ,PJM,Capacity,Mickleton 230kV,6/1/2012,2012,Feasibility Study,Feasibility Study,Gas,Gas,,,440,,
W3-152,withdrawn,10/29/2010,2010,,12/21/2011,,PJM,,,JCPL,warren,,,NJ,PJM,Capacity,Morris Park 12kV,4/1/2011,2011,System Impact Study,System Impact Study,Solar,Solar,,,3,,
X4-047,withdrawn,1/31/2012,2012,,5/30/2012,,PJM,,,JCPL,warren,,,NJ,PJM,Capacity,Phillipsburg,12/31/2013,2013,Feasibility Study,Feasibility Study,Solar,Solar,,,4,,
AF1-237,active,9/27/2019,2019,,,,PJM,,,PSEG,mercer,,,NJ,PJM,Capacity,Mercer 230 kV,5/31/2023,2023,System Impact Study,System Impact Study,Battery,Battery,,,170,,
AE2-103,withdrawn,2/28/2019,2019,,5/23/2019,,PJM,,,JCPL,ocean,,,NJ,PJM,Capacity,Cookstown-Van Hiseville Solar 34.5 kV,3/2/2020,2020,Withdrawn,Withdrawn,Solar,Solar,,,3,,
AH1-335,active,9/10/2021,2021,,,,PJM,,,JCPL,warren,,,NJ,PJM,Capacity,Furnace Brook Tap - Warren County Resource Recovery 34.5 kV,9/9/2022,2022,In Progress,Feasibility Study,Solar,Solar,,,19,,
AF2-021,active,11/15/2019,2019,,,,PJM,,,AEC,ocean,,,NJ,PJM,Capacity,Cedar 69 kV,6/1/2021,2021,System Impact Study,System Impact Study,Battery,Battery,,,20,,
AF1-108,withdrawn,9/10/2019,2019,,11/22/2022,,PJM,,,JCPL,hunterdon,,,NJ,PJM,Capacity,East Flemington 34.5 kV,6/1/2023,2023,Facility Study,Facility Study,Solar+Battery,Solar,Battery,,20,,
AF2-022,withdrawn,11/15/2019,2019,,9/1/2020,,PJM,,,AEC,cumberland,,,NJ,PJM,Capacity,Cumberland 138 kV,6/1/2021,2021,Feasibility Study,Feasibility Study,Battery,Battery,,,50,,
AH1-290,active,9/9/2021,2021,,,,PJM,,,JCPL,warren,,,NJ,PJM,Capacity,BASF - Washburn Solar 34.5 kV,9/9/2022,2022,In Progress,Feasibility Study,Solar,Solar,,,19,,
AD1-113,withdrawn,9/25/2017,2017,,2/16/2022,,PJM,Woodbridge Energy Center,,JCPL,middlesex,,,NJ,PJM,Capacity,Raritan River 230 kV,6/1/2021,2021,IA Executed,IA Executed,Gas,Gas,,,35,,
AD2-209,withdrawn,3/30/2018,2018,,10/9/2018,,PJM,,,JCPL,hunterdon,,,NJ,PJM,Energy,Cherryville 12.5 kV,11/30/2018,2018,Feasibility Study,Feasibility Study,Battery,Battery,,,2,,
AH2-109,active,2/16/2022,2022,,,,PJM,,,AEC,unknown,,,NJ,PJM,Energy,TBD 12.47kV,12/1/2022,2022,In Progress,Feasibility Study,Solar,Solar,,,2,,
AG1-103,active,8/24/2020,2020,,,,PJM,Gloucester Solar I,,AEC,gloucester,,,NJ,PJM,Energy,Clayton-Williamstown 69 kV,12/31/2026,2026,IA Executed,IA Executed,Battery,Battery,,,0,,
AB2-055,withdrawn,3/17/2016,2016,,9/20/2019,,PJM,,,PSEG,hudson,,,NJ,PJM,Capacity,Bayonne 345kV,6/1/2021,2021,System Impact Study,System Impact Study,Gas,Gas,,,1041,,
AD1-027,withdrawn,7/3/2017,2017,,8/9/2017,,PJM,,,PSEG,camden,,,NJ,PJM,Capacity,Camden 26 kV,12/31/2017,2017,Withdrawn,Withdrawn,Solar,Solar,,,10,,
T60,withdrawn,9/21/2007,2007,,2/7/2008,,PJM,,,AEC,atlantic,,,NJ,PJM,Capacity,Missouri Ave,4/1/2009,2009,Feasibility Study,Feasibility Study,Other,Oil,,,11,,
X2-069,withdrawn,7/19/2011,2011,,1/3/2012,,PJM,,,AEC,gloucester,,,NJ,PJM,Capacity,Swedesboro,5/31/2013,2013,Feasibility Study,Feasibility Study,Solar,Solar,,,5,,
AD2-121,withdrawn,3/22/2018,2018,,4/11/2018,,PJM,,,JCPL,ocean,,,NJ,PJM,Energy,Oyster Creek 230 kV I,6/1/2024,2024,Withdrawn,Withdrawn,Unknown,Unknown,,,0,,
W1-087,withdrawn,4/29/2010,2010,,1/24/2014,,PJM,,,AEC,cumberland,,,NJ,PJM,Capacity,Millville 3 69kV,10/11/2011,2011,System Impact Study,System Impact Study,Solar,Solar,,,20,,
Z1-033,withdrawn,7/2/2013,2013,,12/18/2013,,PJM,,,PSEG,unknown,,,NJ,PJM,Energy,Hudson 230kV,10/30/2017,2017,Withdrawn,Withdrawn,Unknown,Unknown,,,0,,
AG1-223,active,9/23/2020,2020,,,,PJM,,,JCPL,monmouth,,,NJ,PJM,Capacity,Larrabee-Allaire 34.5 kV,12/31/2021,2021,System Impact Study,System Impact Study,Solar,Solar,,,15,,
T119,withdrawn,12/20/2007,2007,,12/21/2009,,PJM,,,PSEG,middlesex,,,NJ,PJM,Capacity,Metuchen 230kV,1/1/2011,2011,System Impact Study,System Impact Study,Gas,Gas,,,600,,
AB2-105,withdrawn,4/28/2016,2016,,10/12/2016,,PJM,,,AEC,gloucester,,,NJ,PJM,Energy,Mantua 12kV,12/31/2016,2016,System Impact Study,System Impact Study,Gas,Gas,,,0,,
Y3-001,withdrawn,11/5/2012,2012,,1/21/2014,,PJM,,,PSEG,hudson,,,NJ,PJM,Capacity,Hudson 230kV,5/31/2017,2017,Feasibility Study,Feasibility Study,Gas,Gas,,,705,,
W2-037,withdrawn,6/22/2010,2010,,12/1/2010,,PJM,,,JCPL,burlington,,,NJ,PJM,Capacity,Cookstown 34.5kV,11/30/2011,2011,Feasibility Study,Feasibility Study,Solar,Solar,,,7,,
R58,withdrawn,12/21/2006,2006,,12/3/2009,,PJM,Camden Cogen Tech,,PSEG,camden,,,NJ,PJM,Capacity,Gloucester 230kV,6/1/2013,2013,IA Executed,IA Executed,Gas,Gas,,,55,,
H11,withdrawn,11/20/2001,2001,,7/22/2002,,PJM,,,AEC,gloucester,,,NJ,PJM,Capacity,New Freedom - Cardiff 230kV,12/1/2005,2005,Feasibility Study,Feasibility Study,Gas,Gas,,,500,,
AB2-127,withdrawn,4/28/2016,2016,,12/2/2016,,PJM,,,JCPL,hunterdon,,,NJ,PJM,Energy,Gilbert 34.5kV,6/29/2018,2018,System Impact Study,System Impact Study,Battery,Battery,,,16,,
X1-089,withdrawn,4/29/2011,2011,,9/1/2011,,PJM,,,JCPL,warren,,,NJ,PJM,Capacity,Franklin #3,12/31/2012,2012,Feasibility Study,Feasibility Study,Solar,Solar,,,17,,
W4-094,withdrawn,1/31/2011,2011,,1/11/2012,,PJM,,,JCPL,monmouth,,,NJ,PJM,Capacity,Millhurst-Raceway Mall 34.5kV,3/15/2012,2012,System Impact Study,System Impact Study,Solar,Solar,,,6,,
AF2-167,withdrawn,3/18/2020,2020,,9/4/2020,,PJM,,,JCPL,monmouth,,,NJ,PJM,Capacity,Eaton Crest-Red Bank 34.5 kV,9/30/2021,2021,Feasibility Study,Feasibility Study,Solar,Solar,,,8,,
AD1-011,withdrawn,4/3/2017,2017,,6/6/2018,,PJM,Atheina 480V,,PSEG,passaic,,,NJ,PJM,Energy,Athenia 480 v,1/31/2020,2020,System Impact Study,System Impact Study,Gas,Gas,,,0,,
X2-101,withdrawn,7/29/2011,2011,,1/18/2012,,PJM,,,AEC,salem,,,NJ,PJM,Capacity,Upper Pittsgrove 138kV,9/1/2012,2012,System Impact Study,System Impact Study,Wind,Wind,,,18,,
W3-129,withdrawn,10/29/2010,2010,,9/27/2012,,PJM,Blackwood Solar,,PSEG,camden,,,NJ,PJM,Capacity,Beaver Brook 13kV,6/30/2012,2012,System Impact Study,System Impact Study,Solar,Solar,,,7,,
W1-021,withdrawn,2/22/2010,2010,,10/16/2013,,PJM,,,AEC,cumberland,,,NJ,PJM,Capacity,Fairton 69kV I,7/1/2011,2011,System Impact Study,System Impact Study,Solar,Solar,,,20,,
U3-022,withdrawn,9/30/2008,2008,,2/20/2009,,PJM,,,AEC,cumberland,,,NJ,PJM,Capacity,Sherman-Cumberland 138kV,9/15/2009,2009,Feasibility Study,Feasibility Study,Solar,Solar,,,14,,
AG2-458,active,3/30/2021,2021,,,,PJM,,,JCPL,sussex,,,NJ,PJM,Capacity,Kittatinny-Newton 34.5 kV II,5/31/2022,2022,In Progress,Feasibility Study,Battery,Battery,,,2,,
X2-035,withdrawn,6/6/2011,2011,,10/1/2013,,PJM,Valley Road Solar,,PSEG,somerset,,,NJ,PJM,Energy,Sunnymeade Road 13kV),7/31/2013,2013,System Impact Study,System Impact Study,Solar,Solar,,,8,,
T153,withdrawn,1/28/2008,2008,,12/11/2008,,PJM,,,JCPL,hunterdon,,,NJ,PJM,Capacity,Milford 34.5kV,6/1/2008,2008,System Impact Study,System Impact Study,Hydro,Hydro,,,1,,
W3-090,withdrawn,10/21/2010,2010,,2/24/2011,,PJM,,,AEC,salem,,,NJ,PJM,Capacity,Carneys Point 12kV 1,12/31/2011,2011,Feasibility Study,Feasibility Study,Solar,Solar,,,10,,
W1-103,withdrawn,4/30/2010,2010,,8/27/2010,,PJM,,,AEC,cumberland,,,NJ,PJM,Capacity,Millville 12kV,6/15/2011,2011,Feasibility Study,Feasibility Study,Solar,Solar,,,20,,
X4-029,withdrawn,12/23/2011,2011,,6/8/2012,,PJM,,,AEC,cumberland,,,NJ,PJM,Energy,Upper Deerfield 12kV,1/2/2013,2013,Feasibility Study,Feasibility Study,Solar,Solar,,,10,,
AC1-066,withdrawn,9/21/2016,2016,,12/11/2017,,PJM,,,PSEG,union,,,NJ,PJM,Capacity,Linden 26 kV,9/1/2017,2017,System Impact Study,System Impact Study,Gas,Gas,,,5,,
AD2-170,withdrawn,3/28/2018,2018,,9/20/2018,,PJM,,,AEC,cumberland,,,NJ,PJM,Energy,Carll's Corner 12 kV,1/1/2019,2019,Feasibility Study,Feasibility Study,Solar,Solar,,,0,,
V4-009,withdrawn,11/12/2009,2009,,11/25/2013,,PJM,Deerfield Project,,AEC,cumberland,,,NJ,PJM,Capacity,Upper Deerfield,6/1/2014,2014,Facility Study,Facility Study,Solar,Solar,,,10,,
AG2-241,active,3/16/2021,2021,,,,PJM,,,AEC,cumberland,,,NJ,PJM,Capacity,Roadstown 69 kV,9/15/2023,2023,In Progress,Feasibility Study,Solar,Solar,,,47,,
W4-011,withdrawn,11/24/2010,2010,,2/22/2016,,PJM,Solar Wind Energy Solar Farm,,JCPL,monmouth,,,NJ,PJM,Capacity,Larabee 34.5kV,12/31/2014,2014,System Impact Study,System Impact Study,Solar,Solar,,,15,,
X1-101,withdrawn,4/29/2011,2011,,9/9/2011,,PJM,,,JCPL,hunterdon,,,NJ,PJM,Capacity,Clinton-Round Valley 34.5kV,3/1/2012,2012,Feasibility Study,Feasibility Study,Solar,Solar,,,8,,
Q26,withdrawn,3/29/2006,2006,,10/12/2006,,PJM,,,AEC,salem,,,NJ,PJM,Capacity,Churchtown 230kV,12/31/2008,2008,Feasibility Study,Feasibility Study,Gas,Gas,,,550,,
AF1-052,withdrawn,7/26/2019,2019,,2/11/2021,,PJM,,,PSEG,hudson,,,NJ,PJM,Capacity,Mason 230 kV,12/31/2024,2024,System Impact Study,System Impact Study,Gas+Solar+Battery,Gas,Solar,Battery,132,,
AC2-144,withdrawn,3/28/2017,2017,,3/17/2021,,PJM,59 Newburgh,,JCPL,warren,,,NJ,PJM,Energy,Newburgh 12.47kV,6/1/2018,2018,System Impact Study,System Impact Study,Battery,Battery,,,0,,
AB1-169A,withdrawn,10/30/2015,2015,,7/20/2020,,PJM,,,AEC,atlantic,,,NJ,PJM,Capacity,Minotola 138 kV,6/1/2020,2020,System Impact Study,System Impact Study,Gas,Gas,,,575,,
V4-036,withdrawn,12/14/2009,2009,,3/20/2012,,PJM,,,AEC,cumberland,,,NJ,PJM,Capacity,Newport-South Millville 69kV,9/30/2012,2012,Facility Study,Facility Study,Solar,Solar,,,20,,
AG2-076,active,1/19/2021,2021,,,,PJM,,,JCPL,middlesex,,,NJ,PJM,Energy,Raritan River 230 kV,1/1/2024,2024,In Progress,Feasibility Study,Unknown,Unknown,,,0,,
AG2-044,withdrawn,11/17/2020,2020,,12/11/2020,,PJM,,,PSEG,atlantic,,,NJ,PJM,Energy,,12/31/2021,2021,Withdrawn,Withdrawn,Solar,Solar,,,0,,
AG2-055,active,12/4/2020,2020,,,,PJM,,,PSEG,middlesex,,,NJ,PJM,Capacity,Deans 500 kV,11/1/2027,2027,In Progress,Feasibility Study,Offshore Wind,Offshore Wind,,,1300,,
AH2-127,active,2/25/2022,2022,,,,PJM,,,PSEG,burlington,,,NJ,PJM,Capacity,Burlington 26 kV,9/19/2023,2023,In Progress,Feasibility Study,Battery,Battery,,,15,,
X2-036,withdrawn,6/6/2011,2011,,1/5/2012,,PJM,,,JCPL,hunterdon,,,NJ,PJM,Capacity,Whitehouse,12/31/2011,2011,Feasibility Study,Feasibility Study,Solar,Solar,,,4,,
AG2-035,active,11/11/2020,2020,,,,PJM,,,AEC,salem,,,NJ,PJM,Capacity,Fenwick Creek 69 kV,12/31/2021,2021,In Progress,Feasibility Study,Solar,Solar,,,33,,
AE2-016,withdrawn,11/26/2018,2018,,5/15/2019,,PJM,,,PSEG,burlington,,,NJ,PJM,Capacity,Bustleton 13.2 kV,6/30/2020,2020,Withdrawn,Withdrawn,Solar,Solar,,,4,,
X2-054,withdrawn,6/30/2011,2011,,7/15/2016,,PJM,Quakertown Solar Farm #2,,JCPL,hunterdon,,,NJ,PJM,Energy,Franklin,4/13/2016,2016,System Impact Study,System Impact Study,Solar,Solar,,,10,,
AG1-475,withdrawn,9/30/2020,2020,,4/26/2021,,PJM,,,AEC,gloucester,,,NJ,PJM,Capacity,Mickelton 230 kV,6/1/2023,2023,Feasibility Study,Feasibility Study,Solar,Solar,,,15,,
AF2-016,active,10/1/2019,2019,,,,PJM,,,AEC,atlantic,,,NJ,PJM,Capacity,Lewis 138 kV,5/31/2023,2023,System Impact Study,System Impact Study,Battery,Battery,,,240,,
AI2-203,active,3/2/2023,2023,,,,PJM,,,AEC,salem,,,NJ,PJM,Capacity,Upper Pittsgrove 138 kV,3/30/2023,2023,In Progress,Feasibility Study,Solar,Solar,,,0,,
U2-060,withdrawn,7/7/2008,2008,,4/15/2009,,PJM,Pennsauk LF,,PSEG,camden,,,NJ,PJM,Capacity,Camden,12/15/2004,2004,System Impact Study,System Impact Study,Other,Methane,,,5,,
W2-025,withdrawn,5/28/2010,2010,,11/23/2010,,PJM,,,AEC,salem,,,NJ,PJM,Capacity,Oldmans Township,9/30/2011,2011,Feasibility Study,Feasibility Study,Solar,Solar,,,20,,
P23,withdrawn,10/28/2005,2005,,2/18/2009,,PJM,,,PSEG,hudson,,,NJ,PJM,Capacity,Bayonne 138kV,1/1/2009,2009,Facility Study,Facility Study,Gas,Gas,,,46,,
AG2-257,withdrawn,3/18/2021,2021,,4/13/2021,,PJM,,,JCPL,ocean,,,NJ,PJM,Capacity,,9/15/2022,2022,Withdrawn,Withdrawn,Solar,Solar,,,8,,
AG1-476,withdrawn,9/30/2020,2020,,8/21/2023,,PJM,,,AEC,gloucester,,,NJ,PJM,Capacity,Mickelton 230 kV II,6/1/2023,2023,System Impact Study,System Impact Study,Gas,Gas,,,0,,
W2-065,withdrawn,7/30/2010,2010,,12/1/2010,,PJM,,,AEC,gloucester,,,NJ,PJM,Capacity,Woodstown Road 12kV,8/1/2011,2011,Feasibility Study,Feasibility Study,Solar,Solar,,,5,,
AA1-019,withdrawn,7/9/2014,2014,,7/27/2017,,PJM,Gloucester Solar Farm,,PSEG,camden,,,NJ,PJM,Capacity,Beaverbrook 13kV,9/30/2015,2015,System Impact Study,System Impact Study,Solar,Solar,,,7,,
AB1-148,withdrawn,10/30/2015,2015,,2/2/2016,,PJM,,,PSEG,somerset,,,NJ,PJM,Capacity,Branchburg-Deans 500kV,6/1/2021,2021,Withdrawn,Withdrawn,Gas,Gas,,,368,,
V3-025,withdrawn,8/31/2009,2009,,6/9/2010,,PJM,English SP,,JCPL,middlesex,,,NJ,PJM,Capacity,Cranbury 13.8kV,5/31/2010,2010,System Impact Study,System Impact Study,Solar,Solar,,,10,,
AH1-257,active,9/9/2021,2021,,,,PJM,,,JCPL,warren,,,NJ,PJM,Capacity,Broadway - RichLine Hill Solar 34.5 kV,12/23/2022,2022,In Progress,Feasibility Study,Solar,Solar,,,19,,
AE1-161,withdrawn,9/24/2018,2018,,8/7/2023,,PJM,,,AEC,cumberland,,,NJ,PJM,Capacity,Landis 138 kV,10/1/2021,2021,Facility Study,Facility Study,Battery,Battery,,,50,,
AB1-118,withdrawn,10/28/2015,2015,,11/2/2015,,PJM,,,PSEG,mercer,,,NJ,PJM,Capacity,Trenton 13kV,1/31/2016,2016,Withdrawn,Withdrawn,Gas,Gas,,,1,,
W1-071,withdrawn,4/22/2010,2010,,1/13/2011,,PJM,,,AEC,salem,,,NJ,PJM,Energy,Elk Road 12kV,10/31/2010,2010,System Impact Study,System Impact Study,Solar,Solar,,,1,,
W1-076,withdrawn,4/28/2010,2010,,5/16/2014,,PJM,Keller Solar Farm,,JCPL,hunterdon,,,NJ,PJM,Capacity,Kingwood,6/30/2012,2012,IA Executed,IA Executed,Solar,Solar,,,10,,
AD1-003,withdrawn,4/3/2017,2017,,6/6/2018,,PJM,North Bergen II 480V,,PSEG,bergen,,,NJ,PJM,Energy,North Bergen II 480 v,1/1/2020,2020,System Impact Study,System Impact Study,Gas,Gas,,,0,,
W3-138,withdrawn,10/29/2010,2010,,2/15/2012,,PJM,Stillwater Solar Farm,,JCPL,warren,,,NJ,PJM,Capacity,Blairstown-Kittatinny 34.5kV,9/1/2012,2012,System Impact Study,System Impact Study,Solar,Solar,,,10,,
X1-052,withdrawn,3/31/2011,2011,,9/24/2012,,PJM,,,PSEG,burlington,,,NJ,PJM,Capacity,Lumberton 69kV,12/31/2012,2012,Feasibility Study,Feasibility Study,Solar,Solar,,,10,,
W1-110,withdrawn,4/30/2010,2010,,8/31/2010,,PJM,,,AEC,atlantic,,,NJ,PJM,Capacity,Galloway Township 12kV,9/3/2012,2012,Feasibility Study,Feasibility Study,Solar,Solar,,,3,,
AG1-190,withdrawn,9/17/2020,2020,,3/18/2021,,PJM,,,PSEG,burlington,,,NJ,PJM,Capacity,Burlington 26 kV,12/17/2021,2021,System Impact Study,System Impact Study,Solar,Solar,,,13,,
AG2-042,withdrawn,11/17/2020,2020,,12/11/2020,,PJM,,,PSEG,atlantic,,,NJ,PJM,Energy,,12/31/2021,2021,Withdrawn,Withdrawn,Solar,Solar,,,0,,
AG1-088,withdrawn,7/31/2020,2020,,9/12/2023,,PJM,,,AEC,cumberland,,,NJ,PJM,Energy,Carll's Corner-Sherman Ave 69 kV,12/31/2021,2021,System Impact Study,System Impact Study,Battery,Battery,,,0,,
W2-073,withdrawn,7/30/2010,2010,,3/17/2017,,PJM,Ward's Nursery Solar Farm,,JCPL,middlesex,,,NJ,PJM,Capacity,New Canton 12kV,9/30/2017,2017,System Impact Study,System Impact Study,Solar,Solar,,,4,,
AG2-588,active,3/31/2021,2021,,,,PJM,,,JCPL,warren,,,NJ,PJM,Capacity,Kittatinny - Blairstown 34.5 kV,6/1/2024,2024,In Progress,Feasibility Study,Solar,Solar,,,20,,
AG1-299,withdrawn,9/29/2020,2020,,10/1/2021,,PJM,,,AEC,atlantic,,,NJ,PJM,Capacity,U.S. Silica 12.47 kV,12/31/2021,2021,System Impact Study,System Impact Study,Solar,Solar,,,3,,
AG1-116,withdrawn,8/31/2020,2020,,9/12/2023,,PJM,,,AEC,cumberland,,,NJ,PJM,Energy,Newport-South Millville 69 kV,12/3/2021,2021,System Impact Study,System Impact Study,Battery,Battery,,,0,,
AH1-334,active,9/10/2021,2021,,,,PJM,,,JCPL,ocean,,,NJ,PJM,Capacity,Manchester - Whitings 34.5 kV,9/9/2022,2022,In Progress,Feasibility Study,Solar,Solar,,,19,,
AG1-080,withdrawn,8/1/2020,2020,,9/7/2023,,PJM,Buckeye Pennsauken Solar Urban Renewal LLC,,PSEG,camden,,,NJ,PJM,Capacity,Delair-Locust Street 69 kV,5/31/2025,2025,IA Executed,IA Executed,Solar,Solar,,,20,,
W4-093,withdrawn,1/31/2011,2011,,5/7/2015,,PJM,Dotoli Solar Farm,,JCPL,hunterdon,,,NJ,PJM,Capacity,Frenchtown 34.5kV,12/31/2014,2014,System Impact Study,System Impact Study,Solar,Solar,,,7,,
